logFC	AveExpr	t	P.Value	adj.P.Val	B
MLLT11	-4.13256938	-2.60408622857143	-7.86319167124701	5.59566020670335e-05	0.0303315726574213	2.3654806181216
DNAJC9	-2.6050254	-1.41096407142857	-7.85223955666649	5.65076260016056e-05	0.0303315726574213	2.35687931523452
ZMYND8	-3.2781504	-2.834042	-7.82713126600717	5.7793829513592e-05	0.0303315726574213	2.33710820654674
SUCLG2	-3.40503616	-2.38140431428571	-7.72471221119538	6.33888665776829e-05	0.0303315726574213	2.25570169136984
DDX46	-3.32987456	-1.86442417142857	-7.3775689455516	8.73452570222008e-05	0.0334357643880985	1.97048357463685
NCAM1	2.5691558	2.85279171428571	7.09203770455335	0.000114716034700507	0.0336095943301839	1.72469755635323
CXADR	2.84757565	-1.25492915714286	7.0210535137061	0.000122919101521049	0.0336095943301839	1.66196807468779
G3BP1	-2.16687034	0.717458928571429	-6.32125415357265	0.000250096989152773	0.0503397456266137	1.00697767174362
LSM14B	-1.8961864	-1.93265714285714	-6.15634616342886	0.000298102087093933	0.0503397456266137	0.842512934447408
PAPOLA	-2.6274647	-2.920475	-6.10260462059864	0.000315881795005608	0.0503397456266137	0.7880464790523
EBP	-2.3882435	-2.59120328571429	-6.08694552729194	0.000321280546247766	0.0503397456266137	0.772094937444519
TIMM44	-2.5213091	-2.75687842857143	-5.99318577159262	0.000355817199413926	0.0503397456266137	0.675812038134117
NPM3	-3.5272728	-2.59397892857143	-5.98131882433698	0.000360473285306401	0.0503397456266137	0.663530929343953
HTATSF1	-2.689795382	-1.25128958428571	-5.96196644219367	0.00036821130552382	0.0503397456266137	0.643457205479843
EXOSC9	-2.4685907	-2.76334142857143	-5.69098153334915	0.000498228178817767	0.063573915617147	0.356317715560046
PPA2	-3.0379617	-3.15385785714286	-5.46819050070068	0.000643450293122773	0.0706267853696933	0.111617913861793
SCFD1	-2.2222631	-2.29086071428571	-5.40497674737737	0.000692722694862948	0.0706267853696933	0.0407430505331883
UBE3A	-2.6349084	-2.72012557142857	-5.40032709227405	0.000696507364467306	0.0706267853696933	0.0355044459670149
COPS6	-2.4197738	-3.27198314285714	-5.39471972140002	0.000701101840138022	0.0706267853696933	0.0291821695401007
CAPRIN1	-2.00502176	0.7457472	-5.33527851260997	0.000751907393628152	0.0709215972675019	-0.0381504235864236
ATP1B1	4.051644265	-3.01140775285714	5.290867481039	0.0007925053110912	0.0709215972675019	-0.0888318808165414
