logFC	AveExpr	t	P.Value	adj.P.Val	B
TBL3	-4.85692148333333	-1.61425862857143	-10.4267140505179	7.48386970377355e-06	0.0143241266130226	3.66570620407179
FABP7	-3.73552886666667	2.43780555714286	-8.41341674253879	3.52548082850001e-05	0.0337388515287451	2.54822250551873
FERMT2	-2.65700365833333	-2.07950552857143	-7.03498505587137	0.000122917430793778	0.0784213208464305	1.5450240722485
CTSC	-2.664568625	-1.39099335714286	-6.61103492154546	0.000187468111774836	0.0816885864714771	1.18806258055366
LGALS1	-2.80858841666667	3.392793	-6.48478369404264	0.000213397561315248	0.0816885864714771	1.07687078976164
MPI	-2.3965475	-2.69556828571429	-5.79344560931991	0.000448590077125686	0.136958915683403	0.425615152637742
PEA15	-1.72302568333333	2.03542167142857	-5.59457132345052	0.000561676395720982	0.136958915683403	0.224355892928994
GPM6A	-2.536358525	-0.836608271428571	-5.46220932088025	0.000654220696247333	0.136958915683403	0.0868113923901603
MEIS2	2.1154465	-2.98125557142857	5.38683055827382	0.000714337023133071	0.136958915683403	0.00717823612266688
TLN2	-2.78178866666667	-2.53806214285714	-5.35065649099074	0.000745322361683814	0.136958915683403	-0.0313760168505102
SNCG	4.0278499	-1.50131011428571	5.30439456347965	0.000787120205077031	0.136958915683403	-0.0810033895428441
APOC3	-3.265025175	-1.42127132857143	-4.98929323928702	0.00115049299290593	0.183503632368496	-0.428732129853601
DDAH1	-2.35795581166667	-1.17295434571429	-4.81484463878089	0.00142815475123315	0.210268322604635	-0.628609743451918
ACTA2	-1.87904633333333	-2.84256357142857	-4.70683805951675	0.00163630376675048	0.223706100682887	-0.755015516402887
HMGA1	2.2222548	-0.982934585714286	4.62047024657847	0.00182661263393153	0.22941469696849	-0.857561128415697
BCAT1	2.12136902333333	-1.90864409714286	4.57529266833463	0.00193566439152366	0.22941469696849	-0.911719678860472
PIR	-3.44713544166667	-0.834029185714286	-4.48821666085469	0.00216639545193702	0.22941469696849	-1.01710971075623
CWC15	2.14307688333333	-2.29006272857143	4.42929070643456	0.00233943209755123	0.22941469696849	-1.08917771289992
MSI1	1.39289338166667	0.837491591428571	4.41561382752413	0.00238170657833881	0.22941469696849	-1.10599110961835
COX7A2	-3.6550882	-1.85111817142857	-4.35327101626275	0.0025851994720473	0.22941469696849	-1.18304143608392
HNRNPLL	2.17944284666667	-1.34392881571429	4.33326864053237	0.00265442848011981	0.22941469696849	-1.20790498850086
RCC2	1.19379866666667	2.109492	4.31237829386836	0.00272888361459115	0.22941469696849	-1.23394595372629
LMNA	-2.88764513333333	1.6127618	-4.28970345674772	0.00281227040604684	0.22941469696849	-1.26229638624404
CD59	-1.5387085	-2.049503	-4.27268404716036	0.00287667331621932	0.22941469696849	-1.2836338440593
DCAF7	1.56449675	-2.05905464285714	4.17291126113778	0.00328785394903162	0.240243522161578	-1.40971644313472
THY1	-2.01196670583333	-1.82497507285714	-4.17145933203453	0.00329428830509856	0.240243522161578	-1.41156374967547
TMSB15B	1.33338685	1.80185065714286	4.15043209877465	0.00338901520290628	0.240243522161578	-1.43835696639108
VIM	-1.32401066666666	7.97068185714286	-4.06690672303306	0.00379542114032957	0.250721996563146	-1.54552184718744
ELAVL4	1.55090505	1.57859454285714	4.06624995715446	0.00379881812974463	0.250721996563146	-1.54636912385329
UBA2	1.84988988333333	1.2135864	4.03540281717178	0.00396212494836302	0.252783571705561	-1.58624510459255
SET	1.2110535	3.00646842857143	3.98727434822663	0.00423223732098272	0.254315298486975	-1.64877538063268
H2AFY2	1.54960393333333	1.19516337142857	3.97569975088537	0.00430011662019375	0.254315298486975	-1.66387041206425
CNPY4	-1.97976414666667	-1.60146086857143	-3.94810752900772	0.00446670856435198	0.254315298486975	-1.69994327688758
MSH6	2.10152736666667	-1.23892891428571	3.91124801343874	0.00470018207894682	0.254315298486975	-1.74832505048543
ADD3	-1.75536033333333	-1.71869228571429	-3.89453514175799	0.00481034140298658	0.254315298486975	-1.77033471753055
LMNA.1	-2.51219861	-1.98231893714286	-3.88021642645222	0.00490692997807546	0.254315298486975	-1.78922715742261
MYH9	-1.217016	2.32578171428571	-3.87551595439507	0.00493909058318572	0.254315298486975	-1.79543622934151
RPRD1B	1.12938363333333	0.579113557142857	3.85968234413412	0.00504910205982499	0.254315298486975	-1.81637754521128
CYC1	-1.47786399416667	-1.05174895571429	-3.78986940218325	0.00556653473327687	0.260222959053071	-1.90918459586221
C20orf27	1.44897066666667	-3.49660157142857	3.7790141367338	0.00565197906728154	0.260222959053071	-1.92368389491522
CCAR1	1.91202996666667	-1.65635808571429	3.74943393708086	0.00589203116897773	0.260222959053071	-1.96328663408079
NOVA2	1.78369506666667	0.940573342857143	3.73436914861282	0.00601846678082203	0.260222959053071	-1.98350754904426
QKI	-2.1490481	-1.01346851428571	-3.73414437028713	0.00602037517032277	0.260222959053071	-1.98380952399522
PDXK	-2.03466125833333	-1.32187075714286	-3.72188910324978	0.00612541121669444	0.260222959053071	-2.00028534712037
CSTF1	1.19921116666667	-2.46805185714286	3.70915528869623	0.006236631219452	0.260222959053071	-2.0174287374051
EIF2S2	-1.720046225	-1.05573144285714	-3.70014354060115	0.00631664761936181	0.260222959053071	-2.02957600000534
FKBP9	-2.25878308333333	-2.89453814285714	-3.68574326016535	0.00644679931974873	0.260222959053071	-2.04901208685332
CELF1	1.48449765	-1.75767197142857	3.67713528100121	0.00652596762515538	0.260222959053071	-2.06064516661269
ELAVL3	2.32114495	-0.710112442857143	3.64863984616879	0.00679554907162724	0.260768690577384	-2.09923358955753
PRMT1	1.68096619166667	0.571162557142857	3.64513573973738	0.00682951314935154	0.260768690577384	-2.10398715292203
DES	-3.10976670066667	0.240301442571429	-3.6312839034084	0.00696556106793163	0.260768690577384	-2.12279583762776
NFIB	-2.39779208333333	-2.77034642857143	-3.59864701191585	0.00729769120166625	0.260768690577384	-2.1672226886865
DDX50	1.67001691666667	-2.51238671428571	3.58173572972929	0.00747640485564245	0.260768690577384	-2.19030376804188
PLRG1	1.33210965	-2.27448811428571	3.58034270783528	0.0074913327360023	0.260768690577384	-2.19220684132792
PTBP2	1.58814155	1.46578954285714	3.5801543943346	0.00749335317751105	0.260768690577384	-2.1924641266494
SLC25A5	-2.18673145233333	-0.100418772428571	-3.42492872428456	0.00937397808047155	0.310118502592577	-2.40622182205029
ANXA6.1	-1.50240491666667	3.98107642857143	-3.41949845109229	0.0094482469418005	0.310118502592577	-2.41375855683523
SPTBN1	-1.0909525	2.77930242857143	-3.40306162509147	0.00967688325312126	0.310118502592577	-2.43659473030745
IGF2BP3	1.49548874333333	1.34431533714286	3.39997515692797	0.00972046723177176	0.310118502592577	-2.44088674026389
RFC3	2.40167393333333	-2.76767317142857	3.3824637765985	0.00997172107931038	0.310118502592577	-2.46526094336258
CRNKL1	2.12039308333333	-4.36097085714286	3.36709430691261	0.010197921443413	0.310118502592577	-2.48668583291207
CTBP1	1.05091994333333	0.852340651428571	3.36672836036876	0.0102033731293505	0.310118502592577	-2.48719632064665
RBFOX1	1.11861375	-0.258745357142857	3.35753171155512	0.0103413995099184	0.310118502592577	-2.50003094316072
AHNAK	-3.25445469166667	-0.393302871428571	-3.35051096061076	0.0104481007990621	0.310118502592577	-2.50983601254969
DCLK2	-1.55525191666667	-2.58467528571429	-3.33012729728726	0.0107645532697105	0.310118502592577	-2.5383378977076
GGCT	1.28559358333333	-3.82978457142857	3.32515833395017	0.0108432240625755	0.310118502592577	-2.54529354059274
HACD3	1.90754056333333	-0.779069615714286	3.3159119703695	0.0109912411335468	0.310118502592577	-2.55824470521792
UBXN7	1.9617628	-1.97421151428571	3.29933754311414	0.0112619444820158	0.310118502592577	-2.58148574344555
DNMT3A	1.52612483333333	-3.227811	3.29901632663851	0.0112672599333836	0.310118502592577	-2.58193648296524
SERPINH1	-1.15657725	4.69779228571429	-3.29389153671042	0.0113524241719531	0.310118502592577	-2.58912937225593
SNW1	1.5567607	-2.46908384285714	3.28110794550754	0.0115678436486817	0.310118502592577	-2.60708519635147
AIP	1.898628	-3.23106928571429	3.26950004089472	0.011767196240727	0.310118502592577	-2.6234061202709
U2SURP	1.28375818333333	-1.68615467142857	3.26600511929167	0.0118279261699363	0.310118502592577	-2.62832308637374
PRPF40A	1.52575088333333	-0.674425614285714	3.24975174993709	0.012114736822138	0.313346030778003	-2.65120808742391
APMAP	-1.0758574	1.16455175714286	-3.22055336083056	0.0126485782483357	0.318472946203967	-2.6923943820249
FAM50A	1.356147	-3.29905914285714	3.21822346963352	0.01269223234663	0.318472946203967	-2.69568490633686
ANXA5	-1.11066608333333	3.25428	-3.1829090086191	0.0133737119093251	0.318472946203967	-2.74563144183465
SNRPA1	0.910015341666667	1.3121419	3.17953513928588	0.0134408071167334	0.318472946203967	-2.75041015358524
HNRNPH3	0.894202583333334	2.87619642857143	3.17857522382789	0.0134599614023873	0.318472946203967	-2.75176998467787
